,US Large,US Small,All country,EAFE,Emerging Markets,US Treasury Short,US Treasury Long,US Treasury Intermediate,US Corporate Intermediate,US High Yield,US Aggregate,US Tips,Global Ex-US Treasury,Global Aggregate,Emerging Market (Non-Local),Emerging Market (Local),EM Cash,Commodities,Bank Loans,Global Ex-US Corporates,REITS,United States Cash,US Commercial Real Estate,Global DM Ex-US Long/Short Equity,US Long/Short Equity,Europe LBO,US LBO
US Large,0.0207,0.0249,0.0215,0.0213,0.0235,-0.0006,-0.0047,-0.0014,0.0019,0.0093,-0.0003,0.0011,0.0019,0.0021,0.0059,0.0100,0.0066,0.0086,0.0057,0.0072,0.0233,-0.0001,0.0037,0.0105,0.0078,0.0253,0.0264
US Small,0.0249,0.0363,0.0253,0.0246,0.0274,-0.0010,-0.0077,-0.0022,0.0017,0.0116,-0.0011,0.0005,0.0010,0.0014,0.0064,0.0110,0.0076,0.0099,0.0073,0.0074,0.0302,-0.0003,0.0049,0.0132,0.0106,0.0290,0.0316
All country,0.0215,0.0253,0.0242,0.0255,0.0296,-0.0006,-0.0046,-0.0013,0.0028,0.0110,0.0000,0.0019,0.0035,0.0034,0.0079,0.0135,0.0087,0.0110,0.0067,0.0097,0.0245,-0.0002,0.0036,0.0131,0.0079,0.0298,0.0267
EAFE,0.0213,0.0246,0.0255,0.0284,0.0314,-0.0006,-0.0046,-0.0013,0.0033,0.0117,0.0003,0.0022,0.0045,0.0043,0.0089,0.0153,0.0098,0.0119,0.0070,0.0114,0.0246,-0.0001,0.0032,0.0148,0.0077,0.0332,0.0261
Emerging Markets,0.0235,0.0274,0.0296,0.0314,0.0449,-0.0006,-0.0047,-0.0013,0.0043,0.0145,0.0006,0.0038,0.0062,0.0058,0.0121,0.0212,0.0134,0.0170,0.0089,0.0137,0.0276,-0.0002,0.0043,0.0169,0.0083,0.0353,0.0281
US Treasury Short,-0.0006,-0.0010,-0.0006,-0.0006,-0.0006,0.0004,0.0016,0.0006,0.0004,-0.0004,0.0006,0.0005,0.0007,0.0005,0.0003,0.0001,-0.0000,-0.0005,-0.0005,0.0002,-0.0003,0.0002,-0.0005,-0.0002,-0.0002,-0.0006,-0.0007
US Treasury Long,-0.0047,-0.0077,-0.0046,-0.0046,-0.0047,0.0016,0.0141,0.0033,0.0023,-0.0018,0.0037,0.0040,0.0042,0.0032,0.0025,0.0001,-0.0010,-0.0025,-0.0026,0.0007,0.0015,0.0006,-0.0014,-0.0019,-0.0019,-0.0059,-0.0061
US Treasury Intermediate,-0.0014,-0.0022,-0.0013,-0.0013,-0.0013,0.0006,0.0033,0.0011,0.0007,-0.0007,0.0011,0.0011,0.0014,0.0011,0.0007,0.0003,-0.0000,-0.0007,-0.0010,0.0005,-0.0004,0.0003,-0.0008,-0.0004,-0.0005,-0.0016,-0.0017
US Corporate Intermediate,0.0019,0.0017,0.0028,0.0033,0.0043,0.0004,0.0023,0.0007,0.0019,0.0023,0.0013,0.0017,0.0019,0.0017,0.0027,0.0026,0.0014,0.0012,0.0011,0.0024,0.0039,0.0002,-0.0004,0.0018,0.0006,0.0033,0.0017
US High Yield,0.0093,0.0116,0.0110,0.0117,0.0145,-0.0004,-0.0018,-0.0007,0.0023,0.0082,0.0004,0.0019,0.0016,0.0017,0.0053,0.0065,0.0038,0.0057,0.0053,0.0047,0.0145,-0.0002,0.0018,0.0058,0.0032,0.0121,0.0098
US Aggregate,-0.0003,-0.0011,0.0000,0.0003,0.0006,0.0006,0.0037,0.0011,0.0013,0.0004,0.0013,0.0015,0.0017,0.0014,0.0016,0.0011,0.0004,-0.0002,-0.0003,0.0011,0.0015,0.0002,-0.0007,0.0003,-0.0002,-0.0000,-0.0007
US Tips,0.0011,0.0005,0.0019,0.0022,0.0038,0.0005,0.0040,0.0011,0.0017,0.0019,0.0015,0.0031,0.0025,0.0021,0.0029,0.0030,0.0015,0.0023,0.0007,0.0024,0.0040,0.0001,0.0000,0.0017,0.0002,0.0016,0.0007
Global Ex-US Treasury,0.0019,0.0010,0.0035,0.0045,0.0062,0.0007,0.0042,0.0014,0.0019,0.0016,0.0017,0.0025,0.0060,0.0047,0.0036,0.0062,0.0037,0.0036,-0.0003,0.0055,0.0050,0.0002,-0.0013,0.0041,0.0004,0.0038,0.0020
Global Aggregate,0.0021,0.0014,0.0034,0.0043,0.0058,0.0005,0.0032,0.0011,0.0017,0.0017,0.0014,0.0021,0.0047,0.0039,0.0032,0.0052,0.0031,0.0031,0.0001,0.0047,0.0045,0.0002,-0.0010,0.0036,0.0005,0.0039,0.0023
Emerging Market (Non-Local),0.0059,0.0064,0.0079,0.0089,0.0121,0.0003,0.0025,0.0007,0.0027,0.0053,0.0016,0.0029,0.0036,0.0032,0.0071,0.0085,0.0045,0.0047,0.0026,0.0052,0.0106,0.0001,0.0003,0.0049,0.0019,0.0093,0.0063
Emerging Market (Local),0.0100,0.0110,0.0135,0.0153,0.0212,0.0001,0.0001,0.0003,0.0026,0.0065,0.0011,0.0030,0.0062,0.0052,0.0085,0.0171,0.0093,0.0097,0.0029,0.0091,0.0151,-0.0001,0.0007,0.0093,0.0032,0.0165,0.0117
EM Cash,0.0066,0.0076,0.0087,0.0098,0.0134,-0.0000,-0.0010,-0.0000,0.0014,0.0038,0.0004,0.0015,0.0037,0.0031,0.0045,0.0093,0.0058,0.0063,0.0018,0.0058,0.0084,-0.0001,0.0004,0.0061,0.0022,0.0106,0.0080
Commodities,0.0086,0.0099,0.0110,0.0119,0.0170,-0.0005,-0.0025,-0.0007,0.0012,0.0057,-0.0002,0.0023,0.0036,0.0031,0.0047,0.0097,0.0063,0.0250,0.0035,0.0065,0.0106,-0.0005,0.0036,0.0077,0.0029,0.0122,0.0100
Bank Loans,0.0057,0.0073,0.0067,0.0070,0.0089,-0.0005,-0.0026,-0.0010,0.0011,0.0053,-0.0003,0.0007,-0.0003,0.0001,0.0026,0.0029,0.0018,0.0035,0.0046,0.0021,0.0086,-0.0002,0.0025,0.0030,0.0019,0.0073,0.0060
Global Ex-US Corporates,0.0072,0.0074,0.0097,0.0114,0.0137,0.0002,0.0007,0.0005,0.0024,0.0047,0.0011,0.0024,0.0055,0.0047,0.0052,0.0091,0.0058,0.0065,0.0021,0.0082,0.0093,0.0001,-0.0001,0.0075,0.0023,0.0119,0.0084
REITS,0.0233,0.0302,0.0245,0.0246,0.0276,-0.0003,0.0015,-0.0004,0.0039,0.0145,0.0015,0.0040,0.0050,0.0045,0.0106,0.0151,0.0084,0.0106,0.0086,0.0093,0.0506,-0.0002,0.0068,0.0128,0.0088,0.0270,0.0276
United States Cash,-0.0001,-0.0003,-0.0002,-0.0001,-0.0002,0.0002,0.0006,0.0003,0.0002,-0.0002,0.0002,0.0001,0.0002,0.0002,0.0001,-0.0001,-0.0001,-0.0005,-0.0002,0.0001,-0.0002,0.0002,-0.0003,-0.0001,0.0000,-0.0001,-0.0001
US Commercial Real Estate,0.0037,0.0049,0.0036,0.0032,0.0043,-0.0005,-0.0014,-0.0008,-0.0004,0.0018,-0.0007,0.0000,-0.0013,-0.0010,0.0003,0.0007,0.0004,0.0036,0.0025,-0.0001,0.0068,-0.0003,0.0156,0.0011,0.0014,0.0039,0.0047
Global DM Ex-US Long/Short Equity,0.0105,0.0132,0.0131,0.0148,0.0169,-0.0002,-0.0019,-0.0004,0.0018,0.0058,0.0003,0.0017,0.0041,0.0036,0.0049,0.0093,0.0061,0.0077,0.0030,0.0075,0.0128,-0.0001,0.0011,0.0134,0.0042,0.0166,0.0129
US Long/Short Equity,0.0078,0.0106,0.0079,0.0077,0.0083,-0.0002,-0.0019,-0.0005,0.0006,0.0032,-0.0002,0.0002,0.0004,0.0005,0.0019,0.0032,0.0022,0.0029,0.0019,0.0023,0.0088,0.0000,0.0014,0.0042,0.0077,0.0093,0.0100
Europe LBO,0.0253,0.0290,0.0298,0.0332,0.0353,-0.0006,-0.0059,-0.0016,0.0033,0.0121,-0.0000,0.0016,0.0038,0.0039,0.0093,0.0165,0.0106,0.0122,0.0073,0.0119,0.0270,-0.0001,0.0039,0.0166,0.0093,0.0845,0.0320
US LBO,0.0264,0.0316,0.0267,0.0261,0.0281,-0.0007,-0.0061,-0.0017,0.0017,0.0098,-0.0007,0.0007,0.0020,0.0023,0.0063,0.0117,0.0080,0.0100,0.0060,0.0084,0.0276,-0.0001,0.0047,0.0129,0.0100,0.0320,0.0788